AracID;DepoSeviyesi;DepoSıcaklığı;MotorYağBasıncı;MotorYağSeviyesi;Fren_ArkaSağ2;Fren_ArkaSol2;Fren_ArkaSol1;Fren_ÖnSağ;Fren_ÖnSol;Fren_ArkaSol3;Fren_ArkaSağ3;Fren_ArkaSağ1;YardımcıBasınç;Frenİkincil;FrenBirincil;KompresörDurumu;İçSıcaklık_Ön;İçSıcaklık_Arka;AraçHızı;RetarderTorkYüzdesi;YakıtTüketim;FrenPedalı;MotorYükYüzdesi;GazPedalı;TurboÇıkış;MotorTorkYüzdesi;SürücüTork;MotorHız;OrtamSıcaklığı;EgzozSıcaklığı;HavaGiriş;VitesSeçili;VitesAktif;DPF_Çıkış;ŞarjVolt;AküVolt;ŞanzımanYağ;SürüşModu;DepoSeviye;HavaGirişSıcaklığı;ToplamYakıt;OdoYüksek;YokuşKalkış;DurmaFren;MotorÇalışmaSüresi;ÖnAksAğırlığı;MotorAlarm;SoğutucuSıcaklığı;YakıtMotorSıcaklığı;MotorYağSıcaklığı;HavaDebisi;TurboTürbin;FrenAlarm;AksAlarm;SanzımanAlarm
Araç 45;0.502326;0.795455;0.574713;1.000000;0.735450;0.697115;0.287958;0.986395;0.956044;0.896861;0.883408;0.450000;0.000000;0.767606;0.781690;0.000000;0.240000;0.240000;0.001299;1.000000;0.069257;0.277778;0.310000;0.000000;0.701801;0.128000;0.000000;0.310657;0.860734;0.451195;0.047170;;0.000000;0.170836;0.925373;0.925373;0.970864;0.000000;0.506024;0.506093;0.558643;0.172565;0.166667;0.166667;0.582229;0.109975;;0.964706;0.437500;0.803426;;;;;
Araç 35;0.739535;0.704545;0.770115;1.000000;0.439153;0.394231;0.821990;0.530612;0.681319;0.390135;0.632287;1.000000;0.464000;0.788732;0.788732;1.000000;0.800000;0.800000;0.985345;1.000000;0.000000;0.000000;0.000000;0.000000;0.758754;0.000000;0.000000;1.000000;0.775815;0.528873;0.160377;;1.000000;0.176695;0.955224;0.955224;0.934360;1.000000;0.827309;0.402112;0.589020;0.190687;0.000000;0.000000;0.613848;0.143896;;0.917647;0.421875;0.848357;;;;;
Araç 50;0.865116;0.454545;0.862069;1.000000;0.809524;0.730769;0.397906;0.605442;0.681319;0.699552;0.659193;0.525000;0.452000;0.760563;0.767606;1.000000;0.760000;0.760000;0.562906;1.000000;0.440034;0.000000;0.590000;0.732000;0.800343;0.472000;0.567308;0.569606;0.671875;0.581170;0.330189;;1.000000;0.153295;0.895522;0.895522;0.850971;0.000000;0.558233;0.272949;0.827449;0.640508;0.000000;0.000000;0.830534;0.250927;;0.870588;0.421875;0.761865;;;;;
Araç 57;0.790698;0.704545;0.850575;1.000000;0.735450;0.740385;0.738220;0.680272;0.752747;0.367713;0.506726;1.000000;0.008000;0.725352;0.732394;1.000000;0.720000;0.720000;0.628540;1.000000;0.019426;0.000000;0.010000;0.088000;0.802916;0.032000;0.038462;0.627897;0.764946;0.536692;0.330189;;1.000000;0.148833;0.843284;0.843284;0.943068;0.000000;0.506024;0.366640;0.550501;0.127914;0.000000;0.000000;0.576015;0.075468;;0.941176;0.421875;0.815782;;;;;
Araç 55;0.888372;0.590909;0.862069;1.000000;0.783069;0.783654;0.764398;1.000000;0.989011;0.955157;0.982063;0.785000;0.436000;0.746479;0.746479;1.000000;0.680000;0.680000;0.173570;1.000000;0.563345;0.000000;0.760000;1.000000;0.761755;0.600000;1.000000;0.567823;0.769701;0.631673;0.528302;;0.000000;0.143953;0.888060;0.888060;0.960147;0.000000;0.518072;0.393447;0.951354;0.919746;0.000000;0.000000;0.974070;0.060622;;0.929412;0.437500;0.803426;;;;;
Araç 58;0.869767;0.590909;0.827586;1.000000;1.000000;0.990385;0.910995;1.000000;1.000000;0.883408;0.883408;0.870000;0.496000;0.845070;0.845070;1.000000;0.720000;0.720000;0.493686;1.000000;0.387669;0.000000;0.550000;0.656000;0.785765;0.416000;0.500000;0.497463;0.775815;0.592899;0.386792;;1.000000;0.137169;0.843284;0.843284;0.754521;0.000000;0.855422;0.233956;0.962713;0.918265;0.000000;0.000000;0.960511;0.186256;;0.870588;0.390625;0.754002;;;;;
Araç 56;0.855814;0.772727;0.885057;1.000000;0.793651;0.759615;0.649215;0.659864;0.692308;0.690583;0.632287;0.610000;0.448000;0.760563;0.753521;1.000000;0.800000;0.800000;0.517123;0.365854;0.000000;0.416667;0.000000;0.000000;0.735172;0.000000;0.000000;0.538472;0.780571;0.676793;0.066038;;1.000000;0.213136;0.917910;0.917910;0.943068;0.000000;0.578313;0.416734;0.931015;0.806373;0.000000;0.000000;0.926118;0.083192;;0.929412;0.468750;0.838248;;;;;
Araç 59;0.837209;0.750000;0.896552;1.000000;0.682540;0.826923;0.717277;0.734694;0.752747;0.775785;0.699552;0.715000;0.456000;0.781690;0.788732;1.000000;0.760000;0.760000;0.856311;1.000000;0.228885;0.000000;0.270000;0.428000;0.832857;0.184000;0.221154;0.861336;0.826087;0.583029;0.141509;;1.000000;0.149232;0.895522;0.895522;0.900201;0.000000;0.594378;0.330084;0.987083;0.947707;0.000000;0.000000;0.986696;0.228991;;0.905882;0.484375;0.803426;;;;;
Araç 51;0.651163;0.659091;0.609195;1.000000;0.529101;0.552885;0.764398;0.469388;0.510989;0.856502;0.856502;1.000000;0.404000;0.760563;0.760563;1.000000;0.760000;0.760000;0.000000;1.000000;0.080236;0.000000;0.380000;0.336000;0.676647;0.168000;0.173077;0.318475;0.904212;0.542460;0.028302;;0.000000;0.172867;0.850746;0.850746;0.874414;0.000000;0.570281;0.436772;0.934746;0.877760;0.000000;0.000000;0.944402;0.135765;;0.905882;0.406250;0.799775;;;;;
Araç 61;0.920930;0.590909;0.850575;1.000000;0.783069;0.586538;0.010471;0.442177;0.510989;0.000000;0.260090;0.120000;0.436000;0.753521;0.746479;1.000000;0.800000;0.800000;0.796965;1.000000;0.037162;0.000000;0.040000;0.140000;0.807703;0.032000;0.038462;0.800850;0.791440;0.619368;0.150943;;1.000000;0.168042;0.738806;0.738806;0.914267;0.000000;0.815261;0.369077;0.857292;0.686886;0.000000;0.000000;0.863136;0.118447;;0.929412;0.453125;0.819433;;;;;
